Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,..,..,..,..,..,..,..,..,372.93264112589,386.090617351516,373.687924621039,400.122936494632,409.20368760161,452.948223919749,457.785872996384,540.198285108443,569.940728793286,587.005047845623,651.001851952577,643.081145950878,632.054805733833,623.925524099571,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Albania,ALB,..,..,2036.70378260739,2030.60068182686,1879.65476406386,1702.8869350986,2256.05096200161,2458.14998601316,2569.85829480965,2728.4181013355,2896.27787166584,3077.6797367138,3265.36562170136,3484.25411086376,3775.47844386383,3928.34082756573,4094.35883191918,4210.67707973314,4277.1433100358,4329.98683389411,4421.16242053145,4541.38620906466,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Algeria,DZA,2692.63311117571,3105.45171175573,3621.81927887807,3925.91979615497,3551.12851560399,3224.55202983938,3541.4935324884,3600.78102469744,3754.87220614263,3974.96202612876,4092.53020886053,4275.27928899716,4285.9345205497,4365.34786214878,4399.6073771396,4395.41254422901,4473.48644568115,4517.84413982272,4581.32751724446,4617.51106533889,4700.87011477878,4794.04889997664,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Andorra,ADO,42129.8818706541,43154.1134207786,40497.8526141955,35096.3307255372,35777.1450780613,32913.6885800021,39862.6432350624,40801.7792537768,41421.7215028987,44083.4583059185,45479.4039439963,47302.2024797931,48195.4068284714,47377.7825632208,42932.7218102552,41362.1584645905,39639.386021211,38695.0001399351,39456.5738550381,41205.1053672337,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Angola,AGO,..,..,..,2802.21981337729,2877.32329830669,1942.87722748771,2293.39140168272,2312.76485276056,2079.18202998279,2112.02468253553,2260.00845965866,2580.59271846522,3010.06539097731,3566.5541957381,3924.66542793882,3886.58864909887,3886.47935432524,3905.81805278903,3972.60095029394,4105.27990027826,4164.1187358212,4152.77223667567,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,..,..,5296.67925105469,7326.19540271745,10856.7815233558,10865.2961184158,12227.0317117897,11638.0271516614,11819.9980004331,12383.7473919756,12908.5276467383,13553.304046849,15200.1903204523,16460.6413861449,16288.4199860435,14170.2197101478,13017.3103875487,12650.5794043764,13023.5969435248,12846.3871250376,13330.2901726542,13680.567907384,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Argentina,ARG,7075.72996459955,7579.37089950417,8074.23717342883,6567.67798837316,5955.65064435761,7650.43821012711,8204.58193975182,7756.18701774182,6834.96226133794,7357.40844604583,7934.90232969719,8548.2826368489,9147.75674613932,9869.91241203123,10169.1626510412,9460.01796269121,10332.0323662966,10853.2595338679,10626.8391493367,10758.2824183138,10375.2960776626,10514.5878947271,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Armenia,ARM,..,..,..,..,1793.62613417503,1041.65528071783,1401.34947200196,1543.32999210592,1754.16828186866,2007.60186422875,2225.40450507292,2543.27256157207,2891.16617860331,3304.13507922173,3547.65920349707,3054.82611092328,3124.78401786195,3266.70168361635,3489.72888909098,3588.20032485784,3696.53875251856,3792.85223370872,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24289.1415161326,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Australia,AUS,26012.6539219031,27392.200556088,29786.6641299095,31930.3347469336,35812.9303194007,38038.4687328291,44176.3117329878,44425.571112178,45579.1940823753,46402.6842595976,47771.0477703975,48656.4750161488,49374.0555373573,50910.3422974107,51749.8951426891,51616.6945121443,51845.6548605562,52346.9024868509,53321.8793380913,53703.5747322167,54232.6583595579,54717.706705068,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Austria,AUT,19516.0310885071,23318.6016673456,27514.2960848102,29535.9044386387,33788.8622500427,36430.0325793922,41944.7623333665,42348.811423418,42838.7686413965,42952.9479750838,43842.2955191408,44476.7796885842,45740.2390421884,47243.3404520182,47824.3748925507,45887.1306214419,46659.8408181344,47808.6234915203,47951.5567754438,47825.4338414648,47644.9856780566,47667.8056099499,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,..,..,..,..,3118.54658676172,1216.07791710291,1633.3944354131,1781.24639507096,1955.41315045621,2158.00717069154,2357.39602637373,2949.44281843844,3923.65815354896,4851.17690871859,5262.10135550006,5639.001689405,5842.80578358576,5770.96970270605,5820.0798474712,6078.32064851423,6122.98048925179,6115.75820229479,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,19742.3945275051,13244.127148733,20912.1528587387,22542.5357464868,23247.9318953825,21170.1669273972,24747.3941776487,24957.5701923535,25132.4806302693,24296.9616984772,23996.0750357769,24305.6177221127,24430.7354036377,24316.4858031556,23320.2201968753,21956.4618506724,21920.5165867583,21701.1707342655,21844.1869084775,21533.6745448319,21457.8678774859,21441.8367179348,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bahrain,BHR,..,..,21184.1587528803,16926.5765251179,17934.2729333767,21909.035017562,22877.9517396821,22501.7599486339,22335.5622400276,22554.5094807182,22743.5608037004,22629.9048617972,22203.8992579167,22036.4017772134,21540.7105504298,20592.9058421785,20386.0175551116,20101.8498375828,20392.8611505839,21244.2196132901,21992.3907098962,22384.4297835545,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,406.024897904659,327.370767910419,351.83682547087,379.238950348624,400.258557925582,446.969830512199,510.459216660217,526.371665169071,536.709154373055,552.52742281203,572.214467752416,600.716218377829,632.348302977383,668.885821182138,701.172231990128,728.423613327894,760.331935200195,800.04347928581,842.053283162042,881.898479582845,924.061164393362,972.880678008085,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Barbados,BRB,..,..,12955.4318181872,12529.2177280981,13776.9912113111,12866.0955595805,14959.2673366956,14553.4286246506,14630.2262065496,14900.4903543717,15062.7613276676,15617.8804540917,16442.7929542423,16655.0241831354,16658.2953429922,15920.6288205261,15901.4329353355,15958.1535400165,15945.8625417256,15893.763869761,15873.1506260428,15983.2148159214,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belarus,BLR,..,..,..,..,2995.41361090308,1954.83358299258,2704.89942641728,2854.68428543299,3017.86114687136,3252.83690993746,3650.24175022475,4021.05312421374,4450.33110924668,4855.30379194143,5368.51470241431,5391.13395401234,5818.8548592158,6152.45664352862,6264.93185301266,6330.85433028233,6428.39563219314,6158.99466794702,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belgium,BEL,20106.4845051914,23652.2109483057,27477.7231205304,28802.6383566481,33164.4303770748,35291.4186386874,40242.3136703568,40429.5681695996,40965.3501576912,41110.176581926,42420.4609947206,43071.2706528135,43857.5993094293,45015.8668409037,44995.3215017999,43614.8920476994,44382.8797683492,44558.1095006743,44305.9581527407,44091.0970289484,44469.8328578278,44863.0881823005,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Belize,BLZ,1335.58322120214,1738.91943544956,2286.9752233864,2036.76049537117,2846.68331414587,3421.27678214551,3835.77081814547,3906.88360851318,3993.8828288097,4254.04759439421,4339.66461161737,4338.49261033875,4420.66198574826,4354.92311739578,4381.57532369348,4307.41796327623,4344.13666906088,4333.2750927807,4395.05584222263,4355.92735605235,4436.88492654742,4426.59105167746,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Benin,BEN,582.148818042955,554.311150076348,593.482414521943,642.272158504465,606.570759914864,622.724898124727,685.910565330476,699.761327724279,708.576226888345,708.985723417561,716.363573400163,705.510804305601,710.658093635291,730.372938947138,743.412827269708,738.639031868781,732.953622726674,733.864893231345,747.276159654961,777.601249718384,806.873870733252,827.198871524683,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bermuda,BMU,42055.0304719923,48824.501768485,61083.4509496361,57167.1018852694,63429.2767665396,65690.9641699689,79988.3500115683,84844.7383808264,83048.803111906,85321.2432651983,86733.3700723903,87616.3859691804,91944.8738136662,94029.6080297516,94903.19153445,89391.2111759902,88207.3275597322,86001.1711723395,81547.8552352009,79251.7816637313,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bhutan,BTN,..,..,400.341862529082,502.764995578948,791.833296226203,994.816699264805,1220.75353574604,1283.15414244618,1378.93399609093,1441.14406628558,1483.38262548958,1547.72792585029,1614.66541041427,1863.45035585453,1914.3298549299,2004.73345464052,2201.29307778936,2336.07395134083,2416.71361756564,2432.7516061747,2530.77061198679,2580.00346006668,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bolivia,BOL,1392.75330775056,1659.88044151344,1646.41211127812,1343.77607572617,1358.24068815262,1504.39638622292,1616.53917776886,1613.41024630406,1623.51916887724,1637.80850362228,1676.22814688978,1720.09977264981,1771.94477764053,1821.78988754236,1901.88771684099,1933.72999568379,1981.16010525701,2051.17366152619,2122.43472791435,2231.54869142305,2317.31686236681,2372.54835926669,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,..,..,..,..,..,858.934220107529,2981.89854341003,3107.47434832136,3264.78128957108,3387.39758545123,3585.98849535646,3892.42208140251,4096.29644805726,4328.80483858092,4566.88417052517,4438.15136155136,4475.08813004565,4519.20674967619,4481.58429002771,4594.74603882084,4651.72957195392,4807.60065545498,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Botswana,BWA,674.726472127174,1294.3854781408,1900.57426344633,2576.40769662655,3854.69009916219,4218.22202379091,4931.26988888258,4870.83502361181,5096.66397184686,5262.43035238321,5330.29864723998,5488.70784105447,5848.41612526295,6218.64532232774,6481.13795187884,5867.85777015088,6244.00257387272,6488.97012666482,6641.12542354804,7149.51166228587,7234.23427381237,7080.10676021972,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brazil,BRA,4661.62808983431,6728.91035078665,8246.45095382752,7772.7823355799,7909.81136962613,8501.34012194048,8730.14729793926,8743.9096913021,8880.16612350711,8855.15207771406,9240.04032367916,9416.36387095075,9675.38900641228,10151.8427200715,10560.2114512359,10443.3198120441,11121.4209541496,11446.6009053327,11557.2673689406,11797.4494119593,11705.4311555548,11159.2541552581,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,..,39856.5851121096,53847.6498765726,38688.407958937,33696.838381662,34278.5603726001,32683.6564069399,32930.9637177619,33577.6118965581,33942.4087747025,33524.4390917394,33078.7943274519,33946.2076958436,33425.8620207688,32232.8769230906,31149.251285,31453.2243965354,32031.8687197032,31851.7006205319,30838.3720826028,29691.4048776484,29138.4660629877,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,..,..,3181.07589468048,3708.52147078614,4107.63563301238,3731.77258654111,3957.92661992166,4203.17174827287,4542.10008378269,4800.1239832586,5142.66751714824,5544.19997734205,5950.03364704544,6537.21043359923,6955.01495849127,6704.58987824207,6752.55217774882,6903.63733800774,6960.20245467405,7088.98676038181,7239.90014316151,7502.43614329704,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,265.58649253081,282.144913228254,303.053893980804,326.8787635137,331.680033604164,350.888698341777,422.443735827015,437.719233350513,443.868447589825,464.862167354203,471.647232189433,497.460433687536,512.815847342006,525.489466379504,546.7633376613,546.000400509875,574.458089293656,593.885142110499,613.764847405083,617.777985720195,624.342532558576,630.673609080094,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Burundi,BDI,265.113563168293,256.132331096154,279.299052260626,311.09650789483,317.563015861577,251.583351847575,215.890324008695,214.630761814204,217.499210508131,207.833400896911,210.474212072144,205.072022525394,208.649727448129,211.021689335252,213.954557385299,213.720095834046,214.230990840075,215.708934517953,216.967683012505,219.532939480784,222.311563617322,209.656438913117,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,..,..,676.317842613197,847.164196855784,943.530471835691,1377.31498746677,2161.80593242117,2167.46512160728,2241.00551533022,2297.86686327228,2498.11254976545,2641.28788039158,2828.0629700098,3236.70878375473,3433.80167385361,3370.33231283654,3393.92749190379,3494.56167807113,3492.0933321937,3484.15794622331,3535.37526257954,3578.64459779772,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cambodia,KHM,..,..,..,..,..,342.159020212399,426.903030579145,451.921750531642,473.283590811942,504.813914106064,548.046053213145,610.983497913572,666.519993070068,723.708604842369,760.778233742146,750.096345323234,782.692789877004,824.845751247195,870.47486517117,920.303571993388,969.339110879836,1020.90756485672,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cameroon,CMR,843.249559938889,1017.16305847329,1201.58621972481,1615.32216205874,1233.38797351943,974.741716129417,1071.00839956822,1090.4883530189,1105.13591816219,1120.36139719103,1132.30988730835,1128.96019527597,1135.89921910167,1143.31000125047,1146.69272591806,1139.49350822295,1147.2423467852,1164.85245106731,1187.90673333643,1222.82835097346,1263.34763863822,1309.33122496858,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Canada,CAN,24628.3258080186,28056.03429704,31768.6357783575,34344.3731892633,36487.9481408783,37568.111004336,43636.7066764589,43963.3663143355,44882.2069205424,45238.177055451,46169.2522240283,47179.857911042,48033.3004762883,48550.9424146853,48508.8152785692,46542.1107570201,47445.7619347846,48455.2140160142,48721.1802997398,49229.5037747617,49895.9848533251,50000.5596545603,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,605.554153283696,603.896207090256,552.866198415532,530.491656392618,474.12303621833,438.424075687296,419.67084588043,430.47936217402,438.523646964592,408.138833853724,425.598702017993,422.293227674265,430.079112547563,441.866309124517,442.693752931935,441.889318568891,446.800204552837,452.794514961375,456.983127858737,282.273321998349,273.292383834177,282.641182719304,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Chad,TCD,633.93205795431,585.73902356323,410.46234112835,556.653372118098,517.033673186697,484.694924245764,462.486336647142,497.313084121335,519.252804314708,573.315041096508,737.952915763477,835.118936884812,811.851283118782,810.730647355133,808.462077324812,815.418694364926,895.877995851542,867.303059996194,913.375984466506,933.835122037515,965.848930210996,951.685265895643,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,Chile,CHL,4373.00005613265,3746.8154796778,4934.14844334742,4784.84344791361,6105.50027487579,8573.32502655255,9833.02664362354,10037.839033572,10132.5486399022,10409.7701021519,10911.0993395857,11386.4299817629,11754.251776695,12223.4846108432,12486.9506368793,12222.4159431614,12785.0518749485,13385.1312160387,13963.6654022665,14364.1409699174,14479.7632581642,14626.1952460829,..
