rank,country,value
1,Eritrea,0.84175848329370195
2,Lesotho,0.77128210241902773
3,Pakistan,0.75067234775339342
4,Swaziland,0.691916308193265
5,Bahrain,0.67626186830767709
6,Bangladesh,0.66855066378207617
7,Nepal,0.64735830125372451
8,Rwanda,0.64625178209625522
9,Bhutan,0.61899679876061087
10,Palau,0.61813430978602368
11,Sri Lanka,0.60750531790100115
12,Iraq,0.60660280091974661
13,Namibia,0.55246369291301101
14,Mozambique,0.4915838809132474
15,Bosnia and Herzegovina,0.47313263003372513
16,Russian Federation,0.44424824672341579
17,Uruguay,0.44066158430073071
18,Burundi,0.43892303495736867
19,United Arab Emirates,0.42667908042663316
20,Congo,0.41474287689688427
21,Chile,0.41113636178599244
22,Latvia,0.38046572241393634
23,Antigua & Barbuda,0.37807204127435912
24,Mauritania,0.37765850355097474
25,Estonia,0.37301500962507023
26,"Bolivia, Plurinational State of",0.36997697720855327
27,Tonga,0.36959804595621676
28,Zambia,0.36311592093423772
29,Moldova,0.32981026107954653
30,Mali,0.32888072285288211
31,Gabon,0.32076180848080454
32,Lithuania,0.31948055419977683
33,Niger,0.31758253609221382
34,Malawi,0.30585347762115622
35,Indonesia,0.28604487513866989
36,Ghana,0.2753562432233963
37,Central African Republic,0.2616324954892435
38,Togo,0.24836542166939199
39,Tanzania,0.24116198449024587
40,Slovakia,0.20452891828788458
41,Benin,0.18548864945862925
42,Singapore,0.17301079638569564
43,Paraguay,0.16828869684143449
44,Guinea-Bissau,0.16110842621509838
45,Guinea,0.14429350406728661
46,Ukraine,0.11086772224190138
47,Armenia,0.10173507373382323
48,Nigeria,0.10109324308922606
49,Bulgaria,0.099508204274568982
50,Chad,0.091568633213214845
51,South Africa,0.076627151589662365
52,Kenya,0.075546744996987505
53,Czech Republic,0.048888761730395545
54,Slovenia,0.047146207312733439
55,Gambia,0.044790259053618886
56,Botswana,0.0088415878149904828
57,Brunei Darussalam,0.0027302472872157381
58,Senegal,0.00046623845688098189
59,Zimbabwe,-0.010015823768545654
60,Belarus,-0.040423608067295655
61,Georgia,-0.059578932371138128
62,Angola,-0.074444215760237964
63,Turkmenistan,-0.074677693791074903
64,Djibouti,-0.095389904132023348
65,Burkina Faso,-0.10047662607230248
66,Colombia,-0.11551945158419409
67,Albania,-0.12072919611411156
68,United States,-0.12089915948825522
69,Tajikistan,-0.12536977025607637
70,Uganda,-0.13407646266842976
71,Jordan,-0.14785806806478302
72,Egypt,-0.16849759637861628
73,Kuwait,-0.18713339107779939
74,Yemen,-0.19219293964357406
75,Ireland,-0.19427438177840539
76,Kyrgyzstan,-0.19644821904482829
77,India,-0.19884041075820599
78,Thailand,-0.22775591078681262
79,Romania,-0.22812050107479964
80,Mauritius,-0.24519701406896105
81,Seychelles,-0.24954719010598117
82,Samoa,-0.25321513194534556
83,Poland,-0.25493809048514027
84,China,-0.26963206817344271
85,Croatia,-0.27103705668867889
86,Sierra Leone,-0.27110097723455284
87,Côte d'Ivoire,-0.28259979257247136
88,Nicaragua,-0.28621724690868838
89,Macau,-0.28785823664618093
90,Belgium,-0.29995701859743745
91,Sudan,-0.30118084945066476
92,Uzbekistan,-0.31037407618237423
93,Cyprus,-0.32192228550308866
94,Iceland,-0.33977983167231629
95,Turkey,-0.34149521320659415
96,Finland,-0.34287307133618083
97,Portugal,-0.34507484222553414
98,Luxembourg,-0.36671079461105427
99,Austria,-0.36721486719882629
100,Israel,-0.38235884545515014
101,Malaysia,-0.38505780467409612
102,Kazakhstan,-0.39107415399420442
103,Lao People's Democratic Republic,-0.3910968869846585
104,Malta,-0.39239686633280219
105,Cape Verde,-0.39566012926138072
106,Spain,-0.3998150348433705
107,Oman,-0.40095359395317454
108,Germany,-0.41314894997687684
109,Libya,-0.41383822766930684
110,Iran,-0.41941075806162126
111,Morocco,-0.41979052468652128
112,Hungary,-0.42354173114974814
113,Tuvalu,-0.42883113436904158
114,Bermuda,-0.42963334383335289
115,Denmark,-0.43994675077448459
116,Macedonia,-0.44288625350396654
117,Viet Nam,-0.44356801734607365
118,Ethiopia,-0.44566006691174442
119,Hong Kong,-0.44835570469209612
120,Sweden,-0.45025550021798744
121,Jamaica,-0.4511526735534655
122,Switzerland,-0.45115484688647356
123,Norway,-0.4515384222912
124,Australia,-0.45192387580010379
125,Greece,-0.45369002252361462
126,Argentina,-0.45432435964709567
127,Saudi Arabia,-0.46669896761058616
128,Mongolia,-0.46733674057134633
129,Cameroon,-0.46955367429895994
130,Equatorial Guinea,-0.47142868214653344
131,Italy,-0.47558281142478231
132,New Zealand,-0.47621622333665414
133,Trinidad and Tobago,-0.48185024223279133
134,Cambodia,-0.4902264625789704
