rank,country,value
1,Dominican Republic,0.91620961370744836
2,Sri Lanka,0.89184938656016843
3,Macedonia,0.86342130798548167
4,Bahamas,0.86209715324258196
5,Croatia,0.81582654178158287
6,Romania,0.80933017798274109
7,Malawi,0.80668856662551724
8,Costa Rica,0.80160289533802376
9,Rwanda,0.74870823672692133
10,Macau,0.73100343108973098
11,Tajikistan,0.7223405172793953
12,Swaziland,0.71310946456779645
13,Poland,0.70545800163971584
14,United Arab Emirates,0.70310778434627264
15,Nepal,0.69793542639175399
16,Sierra Leone,0.68665064876933135
17,Tanzania,0.68594617989559303
18,Solomon Islands,0.67160161562329557
19,Pakistan,0.66208291384438511
20,Central African Republic,0.6535233084756269
21,Bhutan,0.6120433607498752
22,Nicaragua,0.61189946075710822
23,Cambodia,0.61080636791996201
24,Bahrain,0.61000682652232319
25,Liberia,0.60824050620698178
26,Lao People's Democratic Republic,0.60632915800693032
27,Slovenia,0.60289461403747335
28,Armenia,0.60081132581176866
29,Guinea,0.59421197869385678
30,Yemen,0.54344812385844787
31,India,0.53785639288403508
32,Venezuela,0.53746490842964734
33,Burkina Faso,0.53276940403527273
34,Angola,0.5325161473750869
35,Antigua & Barbuda,0.53187253414827962
36,Lebanon,0.52667815043092037
37,Iraq,0.52464777851134059
38,Ghana,0.52327163707966518
39,Mali,0.51953582703400081
40,Jordan,0.51302343600201394
41,South Africa,0.49627021831541468
42,Ethiopia,0.48478547022723567
43,Tuvalu,0.48329413030423812
44,Ecuador,0.48213890749271227
45,Cape Verde,0.47942550924486654
46,Mauritius,0.4766452254570786
47,Senegal,0.47150747665208287
48,Côte d'Ivoire,0.45936186020327974
49,Bangladesh,0.45613050508432779
50,Palau,0.45558556378537501
51,Kuwait,0.4508548184752994
52,Greece,0.4453468625214031
53,Cuba,0.43409848458680028
54,Togo,0.42992428841711594
55,Turkmenistan,0.42938128777377715
56,Oman,0.42445242914284775
57,Kiribati,0.40858060681398917
58,Turkey,0.4074359373512158
59,Belize,0.40001244857096441
60,Viet Nam,0.39285006897417896
61,Nigeria,0.38646256966942533
62,El Salvador,0.38257914960111511
63,Moldova,0.38161369365550468
64,Fiji,0.37915943141424024
65,Hong Kong,0.37253414298373583
66,Seychelles,0.37023333135908909
67,Argentina,0.36864990739524051
68,Zimbabwe,0.36552852043903927
69,South Korea,0.34705387110155228
70,Sao Tome and Principe,0.33889697372838745
71,Kenya,0.33604882610446329
72,Indonesia,0.33335638938505474
73,Algeria,0.32727453948490037
74,Italy,0.32306300393292675
75,Namibia,0.31266166101658055
76,Hungary,0.30829501280721389
77,Saudi Arabia,0.30397200933660823
78,Guyana,0.30348199130657783
79,Spain,0.30045347593956584
80,Chile,0.2898099418922826
81,Djibouti,0.28465778879509712
82,Tunisia,0.27305249758821587
83,Egypt,0.27236282762338748
84,Guinea-Bissau,0.2596683241890867
85,Chad,0.25528529708619269
86,Honduras,0.25334464762494757
87,Eritrea,0.24601232006281501
88,Libya,0.23259271959323038
89,Kyrgyzstan,0.23012863412837758
90,Paraguay,0.22941842085657116
91,Morocco,0.22928205924888165
92,Suriname,0.22318080067251958
93,Portugal,0.22277844979477299
94,Burundi,0.21596047204181326
95,Albania,0.19113396451834752
96,Guatemala,0.18867704428234736
97,Mauritania,0.18095151234543855
98,Netherlands,0.17896667912009195
99,Thailand,0.17153631294089991
100,Malaysia,0.16663447314884186
101,Niger,0.16508880831877296
102,France,0.15138537250297093
103,"Bolivia, Plurinational State of",0.15055941351332663
104,Tonga,0.14415422312876572
105,Panama,0.13905394206894536
106,Philippines,0.12867519764291219
107,Cameroon,0.10959307430924055
108,Trinidad and Tobago,0.1040844590074731
109,Equatorial Guinea,0.078498140442757047
110,Uruguay,0.074656692035675626
111,Haiti,-0.0050715684159697112
112,United Kingdom,-0.011308181652231526
113,Saint Vincent and the Grenadines,-0.024979399674941005
114,Colombia,-0.027495820500956385
115,Barbados,-0.058056090255430376
116,Austria,-0.079618078120890168
117,Uganda,-0.086896407835535441
118,Benin,-0.10299249211479053
119,Botswana,-0.11439381453655351
120,Peru,-0.12131303112098174
121,Germany,-0.12683382585022523
122,Uzbekistan,-0.13737474891649626
123,Luxembourg,-0.14616635800100933
124,United States,-0.15950404485645517
125,Mongolia,-0.16268292251644767
126,Gabon,-0.16461872243226344
127,Israel,-0.18597887331697271
128,Gambia,-0.19844398026865545
129,Congo,-0.23517501435977239
130,Russian Federation,-0.24370087793137832
131,Denmark,-0.25298453816418853
132,Zambia,-0.25721581745240574
133,Canada,-0.28540146591237076
134,Jamaica,-0.28786030131727225
135,Japan,-0.30378835442780167
136,Sudan,-0.3050548295667983
137,China,-0.31293544869166551
138,Brazil,-0.34194716933941111
139,Czech Republic,-0.35538957079458844
140,Belgium,-0.37037403981898515
141,Kazakhstan,-0.37497282796066544
142,Grenada,-0.37738712885679876
143,Saint Kitts and Nevis,-0.38316290072647918
144,Finland,-0.38708334858186494
145,Marshall Islands,-0.39701310770114973
146,Lithuania,-0.40177978132789638
147,Belarus,-0.41448929623985065
148,Bulgaria,-0.42220095274285996
149,Mozambique,-0.42961831266461165
150,Norway,-0.43070474354370403
151,Lesotho,-0.44077877018890022
152,Samoa,-0.46388807716139785
153,Sweden,-0.47124229347503366
154,Dominica,-0.4733653963367489
155,Georgia,-0.47385738396433497
156,Malta,-0.48427473131238341
157,Iceland,-0.48760722546308677
158,Brunei Darussalam,-0.48946366815882425
159,Australia,-0.49849069593554268
160,Slovakia,-0.53591475419176948
161,New Zealand,-0.53751341960326215
162,Ireland,-0.55965612900188544
163,Comoros,-0.56672134028820265
164,Cyprus,-0.56697737198485765
165,Papua New Guinea,-0.57177840354108478
166,Estonia,-0.57802309258947515
167,Saint Lucia,-0.57920994415626603
168,Switzerland,-0.59060187002332487
169,Latvia,-0.59117157619456906
170,Bosnia and Herzegovina,-0.60449826472945067
171,Iran,-0.62070163368485376
172,Madagascar,-0.62695060486539578
173,Ukraine,-0.66490942960981636
174,Bermuda,-0.67838165444572784
175,Vanuatu,-0.72698110720093034
176,Mexico,-0.74829450472787673
177,Singapore,-0.76344139652377196
178,Puerto Rico,-0.82593159217445455
179,"Micronesia, Federated States of",-0.82688459444427531
180,Azerbaijan,-0.91262316779233332
