community,country,community name
2,Algeria,1
2,Liechtenstein,1
2,Macedonia,1
2,French Guiana,1
2,Belgium,1
2,Luxembourg,1
2,Germany,1
2,Bulgaria,1
2,Suriname,1
2,Colombia,1
2,Bosnia and Herzegovina,1
2,Serbia and Montenegro,1
2,Portugal,1
2,Ecuador,1
2,Netherlands,1
2,Slovenia,1
2,Monaco,1
2,France,1
2,Switzerland,1
2,Spain,1
2,Croatia,1
2,Greece,1
2,Aruba,1
2,Venezuela,1
2,Andorra,1
2,Morocco,1
2,Turkey,1
2,Albania,1
2,Italy,1
2,Netherlands Antilles,1
2,Tunisia,1
2,Austria,1
12,Fiji,2
12,United States,2
12,Samoa,2
12,Indonesia,2
12,United Kingdom,2
12,Canada,2
12,Cook Islands,2
12,South Korea,2
12,Cyprus,2
12,Mexico,2
12,Malaysia,2
12,Puerto Rico,2
12,North Korea,2
12,Cambodia,2
12,Hong Kong,2
12,American Samoa,2
12,Taiwan,2
12,China,2
12,Australia,2
12,Jamaica,2
12,Ireland,2
12,Cuba,2
12,Malta,2
12,Thailand,2
12,New Zealand,2
12,Lao People's Democratic Republic,2
12,Philippines,2
12,Japan,2
12,Myanmar,2
12,Brunei Darussalam,2
12,Macau,2
12,Cayman Islands,2
12,Singapore,2
12,Tonga,2
12,Viet Nam,2
12,Niue,2
8,Angola,3
8,Mauritius,3
8,Zimbabwe,3
8,Namibia,3
8,Swaziland,3
8,Democratic Republic of Congo,3
8,Congo,3
8,Malawi,3
8,Central African Republic,3
8,Lesotho,3
8,Uganda,3
8,Cameroon,3
8,Tanzania,3
8,Botswana,3
8,Chad,3
8,Rwanda,3
8,Zambia,3
8,Burundi,3
8,Djibouti,3
8,Seychelles,3
8,Mozambique,3
8,South Africa,3
8,Sudan,3
8,Kenya,3
4,Qatar,4
4,Egypt,4
4,Bangladesh,4
4,Israel,4
4,Sri Lanka,4
4,Pakistan,4
4,Jordan,4
4,Libya,4
4,Kuwait,4
4,Saudi Arabia,4
4,Lebanon,4
4,Iraq,4
4,Afghanistan,4
4,Iran,4
4,Nepal,4
4,Yemen,4
4,Oman,4
4,"Palestinian Territory, Occupied ",4
4,Syrian Arab Republic,4
4,United Arab Emirates,4
4,India,4
4,Bahrain,4
11,Burkina Faso,5
11,Liberia,5
11,Benin,5
11,Nigeria,5
11,Mauritania,5
11,Gambia,5
11,Mali,5
11,Togo,5
11,Guinea-Bissau,5
11,Sierra Leone,5
11,Equatorial Guinea,5
11,Sao Tome and Principe,5
11,Ghana,5
11,Senegal,5
11,Guinea,5
11,Niger,5
11,Gabon,5
11,Cape Verde,5
11,Côte d'Ivoire,5
10,Turkmenistan,6
10,Lithuania,6
10,Azerbaijan,6
10,Tajikistan,6
10,Moldova,6
10,Ukraine,6
10,Uzbekistan,6
10,Belarus,6
10,Kyrgyzstan,6
10,Poland,6
10,Latvia,6
10,Russian Federation,6
10,Kazakhstan,6
10,Georgia,6
10,Armenia,6
7,Estonia,7
7,Sweden,7
7,Faroe Islands,7
7,Denmark,7
7,Eritrea,7
7,Iceland,7
7,Greenland,7
7,Somalia,7
7,Finland,7
7,Ethiopia,7
7,Norway,7
5,Dominican Republic,8
5,Dominica,8
5,Bahamas,8
5,Antigua & Barbuda,8
5,Martinique,8
5,Montserrat,8
5,"Virgin Islands, British ",8
5,Saint Kitts and Nevis,8
5,"Virgin Islands, U.S.",8
5,Grenada,8
5,Trinidad and Tobago,8
5,Haiti,8
5,Saint Lucia,8
5,Guadeloupe,8
5,Saint Vincent and the Grenadines,8
5,Guyana,8
5,Anguilla,8
5,Barbados,8
5,Turks and Caicos,8
1,Chile,9
1,Peru,9
1,"Bolivia, Plurinational State of",9
1,Argentina,9
1,Paraguay,9
1,Uruguay,9
1,Brazil,9
3,Solomon Islands,10
3,Kiribati,10
3,Wallis and Futuna,10
3,Tuvalu,10
3,Vanuatu,10
3,New Caledonia,10
3,French Polynesia,10
3,Tokelau,10
3,Papua New Guinea,10
6,Hungary,11
6,Romania,11
6,Slovakia,11
6,Czech Republic,11
9,Honduras,12
9,Belize,12
9,Nicaragua,12
9,El Salvador,12
9,Guatemala,12
9,Costa Rica,12
9,Panama,12
